Rank,Release Group,Worldwide,Domestic,%,Foreign,%
333,Joni 75: A Birthday Celebration,"$808,831","$752,205",93%,"$56,626",7%
334,The Whistlers,"$808,743","$55,608",6.9%,"$753,135",93.1%
335,Vita & Virginia,"$793,439","$42,741",5.4%,"$750,698",94.6%
336,Chonda Pierce: Unashamed,"$787,979","$787,979",100%,-,-
337,Elf 2019 Re-release,"$786,249","$786,249",100%,-,-
338,The Church,"$772,000","$772,000",100%,-,-
339,DanTDM Presents The Contest,"$765,363","$307,484",40.2%,"$457,879",59.8%
340,Patterns of Evidence: Moses Controversy,"$765,361","$765,361",100%,-,-
341,I Love Lucy: A Colorized Celebration,"$754,323","$754,323",100%,-,-
342,Everybody's Everything,"$748,539","$547,207",73.1%,"$201,332",26.9%
343,Ordinary Love,"$735,716","$323,688",44%,"$412,028",56%
344,David Crosby: Remember My Name,"$732,793","$732,793",100%,-,-
345,Where's My Roy Cohn?,"$722,603","$705,274",97.6%,"$17,329",2.4%
346,Frankie,"$695,680","$171,781",24.7%,"$523,899",75.3%
347,The Least of These: The Graham Staines Story,"$695,164","$607,015",87.3%,"$88,149",12.7%
348,Raise Hell: The Life & Times of Molly Ivins,"$694,410","$694,410",100%,-,-
349,Romeo Akbar Walter,"$688,719","$236,299",34.3%,"$452,420",65.7%
350,Bethany Hamilton: Unstoppable,"$684,078","$590,671",86.3%,"$93,407",13.7%
351,Stockholm,"$665,527","$292,590",44%,"$372,937",56%
352,The Public,"$644,740","$573,503",89%,"$71,237",11%
353,Marjaavaan,"$641,154","$174,164",27.2%,"$466,990",72.8%
354,Aquarela,"$638,907","$307,346",48.1%,"$331,561",51.9%
355,Asako I & II,"$627,102","$25,559",4.1%,"$601,543",95.9%
356,Give Me Liberty,"$624,818","$242,734",38.8%,"$382,084",61.2%
357,Nancy Drew and the Hidden Staircase,"$623,088","$623,088",100%,-,-
358,Killerman,"$619,855","$291,477",47%,"$328,378",53%
359,The Muppet Movie 2019 Re-release,"$610,475","$610,475",100%,-,-
360,Bolshoi Ballet: The Sleeping Beauty,"$606,872","$311,368",51.3%,"$295,504",48.7%
361,The Golden Glove,"$604,479","$6,160",1%,"$598,319",99%
362,"A White, White Day","$600,172",-,-,"$600,172",100%
363,To Kill a Mockingbird 2019 Re-release,"$592,237","$592,237",100%,-,-
364,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904","$378,405",63.9%,"$213,499",36.1%
365,The Wonderland,"$591,857","$50,876",8.6%,"$540,981",91.4%
366,The Painted Bird,"$581,299","$1,460",0.3%,"$579,839",99.7%
367,And Then We Danced,"$579,574","$177,262",30.6%,"$402,312",69.4%
368,My Fair Lady 2019 Re-release,"$560,711","$560,711",100%,-,-
369,Fiddler: A Miracle of Miracles,"$558,816","$549,386",98.3%,"$9,430",1.7%
370,"DCI 2019: Big, Loud & Live 16","$546,060","$546,060",100%,-,-
371,The Day Shall Come,"$543,993","$26,972",5%,"$517,021",95%
372,Grateful Dead Meet-Up 2019,"$537,153","$537,153",100%,-,-
373,CatVideoFest,"$536,566","$470,923",87.8%,"$65,643",12.2%
374,Margaret Atwood: Live in Cinemas,"$529,285","$93,690",17.7%,"$435,595",82.3%
375,The Audience 2019 Re-release,"$523,432","$106,529",20.4%,"$416,903",79.6%
376,Bolshoi Ballet: Carmen Suite/Petrushka,"$522,179","$207,523",39.7%,"$314,656",60.3%
377,The Spy Behind Home Plate,"$519,525","$519,525",100%,-,-
378,Wild Nights with Emily,"$519,487","$519,487",100%,-,-
379,Saving Private Ryan 2019 Re-release,"$508,694","$508,694",100%,-,-
380,Synonyms,"$501,223","$206,003",41.1%,"$295,220",58.9%
381,Whisper of the Heart 2019 Re-release,"$498,156","$498,156",100%,-,-
382,The Great Alaskan Race,"$496,065","$485,603",97.9%,"$10,462",2.1%
383,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770","$495,770",100%,-,-
384,Monty Python's Life of Brian 2019 Re-release,"$493,971","$161,507",32.7%,"$332,464",67.3%
385,The Russian Five,"$485,049","$485,049",100%,-,-
386,63 Up,"$483,684","$483,684",100%,-,-
387,Liam Gallagher: As It Was,"$477,009",-,-,"$477,009",100%
388,Gorillaz: Reject False Icons,"$475,465","$453,687",95.4%,"$21,778",4.6%
389,Hail Satan?,"$467,361","$424,284",90.8%,"$43,077",9.2%
390,Christmas Jars,"$459,462","$459,462",100%,-,-
391,Cruel Intentions 2019 Re-release,"$445,218","$445,218",100%,-,-
392,StarDog and TurboCat,"$443,030","$80,490",18.2%,"$362,540",81.8%
393,What We Left Behind: Star Trek DS9,"$434,437","$382,457",88%,"$51,980",12%
394,Ghostbusters 2019 Re-release,"$430,435","$369,612",85.9%,"$60,823",14.1%
395,Killing Sarai,"$425,332","$425,332",100%,-,-
396,Ben-Hur 2019 Re-release,"$422,622","$422,622",100%,-,-
397,The Cold Blue,"$420,177","$420,177",100%,-,-
398,Bolshoi Ballet: Le Corsaire,"$417,152","$190,192",45.6%,"$226,960",54.4%
399,The Reliant,"$408,747","$408,747",100%,-,-
400,Meet Me in St. Louis 75th Anniversary,"$403,521","$403,521",100%,-,-
401,"Hello, Dolly!","$400,881","$400,881",100%,-,-
402,The Shawshank Redemption 2019 Re-release,"$387,095","$358,507",92.6%,"$28,588",7.4%
403,The Wedding Guest,"$386,166","$386,166",100%,-,-
404,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",100%,-,-
405,Great Performances at the Met: Puccini: Turandot,"$375,295",-,-,"$375,295",100%
406,INXS: Baby Live at Wembly Stadium,"$366,425","$161,750",44.1%,"$204,675",55.9%
407,Lords of Chaos,"$365,353","$253,184",69.3%,"$112,169",30.7%
408,Clemency,"$364,952","$364,716",99.9%,$236,<0.1%
409,The Tobacconist,"$360,996",-,-,"$360,996",100%
410,K-12,"$359,377","$303,230",84.4%,"$56,147",15.6%
411,The Tomorrow Man,"$354,103","$354,103",100%,-,-
412,Star Trek: The Motion Picture 2019 Re-release,"$346,243","$346,243",100%,-,-
413,Triple Threat,"$345,900","$76,289",22.1%,"$269,611",77.9%
414,Freaks,"$345,864","$276,591",80%,"$69,273",20%
415,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632","$271,489",80.2%,"$67,143",19.8%
416,First Love,"$336,756","$218,329",64.8%,"$118,427",35.2%
417,Diane,"$336,166","$336,166",100%,-,-
418,Anthropocene: The Human Epoch,"$334,162","$104,806",31.4%,"$229,356",68.6%
419,A Silent Voice: The Movie 2019 Re-release,"$333,984","$333,984",100%,-,-
420,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",100%,-,-
421,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%
422,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%
423,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%
424,Cunningham,"$320,293","$265,102",82.8%,"$55,191",17.2%
425,Meeting Gorbachev,"$319,230","$251,837",78.9%,"$67,393",21.1%
426,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-
427,Beats,"$318,710",-,-,"$318,710",100%
428,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%
429,Josh Groban Bridges Live from Madison Square Garden,"$315,173","$315,173",100%,-,-
430,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%
431,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%
432,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%
433,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%
434,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-
435,The Godfather: Part II 45th Anniversary,"$291,754","$291,754",100%,-,-
436,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%
437,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-
438,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-
439,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-
440,Octaman,"$280,710","$280,710",100%,-,-
441,Bolshoi Ballet: The Golden Age,"$277,666","$171,916",61.9%,"$105,750",38.1%
442,See You Soon,"$277,126",-,-,"$277,126",100%
443,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-
444,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%
445,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%
446,The Tale of The Princess Kaguya 2019 Re-release,"$271,681","$271,681",100%,-,-
447,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-
448,Out of Liberty,"$265,279","$265,279",100%,-,-
449,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%
450,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%
451,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-
452,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%
453,When Harry Met Sally... 30th Anniversary,"$252,320","$252,320",100%,-,-
454,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-
455,Canal Street,"$251,917","$251,917",100%,-,-
456,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-
457,The Kingmaker,"$248,348","$122,587",49.4%,"$125,761",50.6%
458,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-
459,Friendsgiving Day #1,"$246,168","$246,168",100%,-,-
460,Play the Flute,"$245,943","$245,943",100%,-,-
461,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%
462,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%
463,Ophelia,"$242,115","$50,722",20.9%,"$191,393",79.1%
464,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-
465,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%
466,Varda by Agnès,"$235,262","$160,765",68.3%,"$74,497",31.7%
467,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-
468,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-
469,The Last Tree,"$228,676","$10,128",4.4%,"$218,548",95.6%
470,Mine 9,"$226,421","$226,421",100%,-,-
471,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-
472,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%
473,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-
474,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-
475,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-
476,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-
477,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%
478,"Faith, Hope & Love","$210,091","$210,091",100%,-,-
479,The Shining 40th Anniversary,"$209,240",-,-,"$209,240",100%
480,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-
481,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%
482,The Iron Orchard,"$204,881","$204,881",100%,-,-
483,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%
484,Hesburgh,"$204,709","$204,709",100%,-,-
485,Forrest Gump 2019 Re-release,"$203,759","$203,088",99.7%,$671,0.3%
486,Blink of an Eye,"$201,874","$201,874",100%,-,-
487,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%
488,Friendsgiving Day #2,"$198,869","$198,869",100%,-,-
489,Little Joe,"$198,674","$23,862",12%,"$174,812",88%
490,The Warrior Queen of Jhansi,"$198,544","$177,289",89.3%,"$21,255",10.7%
491,Family,"$194,601","$194,601",100%,-,-
492,Mr. Klein,"$193,028","$193,028",100%,-,-
493,The Divine Plan,"$190,031","$190,031",100%,-,-
494,Buñuel in the Labyrinth of the Turtles,"$185,675","$36,205",19.5%,"$149,470",80.5%
495,To Dust,"$184,495","$184,495",100%,-,-
496,The River and the Wall,"$183,602","$183,602",100%,-,-
497,Britt-Marie Was Here,"$183,175","$36,549",20%,"$146,626",80%
498,Giant Little Ones,"$181,507","$181,507",100%,-,-
499,Raymonda: Bolshoi Ballet,"$181,361","$181,361",100%,-,-
500,Bolshoi Ballet: Raymonda domestic,"$181,361","$181,361",100%,-,-
501,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%
502,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%
503,Modest Heroes,"$178,027","$178,027",100%,-,-
504,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-
505,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%
506,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%
507,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%
508,Bright Ones,"$165,627","$165,627",100%,-,-
509,Be Natural: The Untold Story of Alice Guy-Blaché,"$165,619","$115,685",69.9%,"$49,934",30.1%
510,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%
511,Halston,"$163,446","$151,991",93%,"$11,455",7%
512,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-
513,The Body,"$159,317","$68,196",42.8%,"$91,121",57.2%
514,Money,"$155,732","$155,732",100%,-,-
515,Before You Know It,"$151,507","$151,507",100%,-,-
516,Jay Myself,"$151,331","$151,331",100%,-,-
517,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-
518,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%
519,Trial by Fire,"$148,504","$148,504",100%,-,-
520,War and Peace,"$148,503","$148,503",100%,-,-
521,Driven,"$147,172",-,-,"$147,172",100%
522,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%
523,Framing John DeLorean,"$145,625","$145,625",100%,-,-
524,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-
525,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-
526,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-
527,The Cordillera of Dreams,"$140,465","$20,943",14.9%,"$119,522",85.1%
528,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-
529,Who Will Write Our History,"$138,868","$138,039",99.4%,$829,0.6%
530,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-
531,Made in Abyss: Journey's Dawn,"$135,821","$134,047",98.7%,"$1,774",1.3%
532,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%
533,The Other Story,"$135,191","$135,191",100%,-,-
534,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%
535,Mister America,"$130,897","$130,897",100%,-,-
536,Section 375,"$129,916",-,-,"$129,916",100%
537,Saint Judy,"$128,248","$78,935",61.5%,"$49,313",38.5%
538,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-
539,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%
540,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-
541,A Tuba to Cuba,"$124,592","$121,772",97.7%,"$2,820",2.3%
542,Rosie,"$123,479","$6,839",5.5%,"$116,640",94.5%
543,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-
544,Downtown 81 2019 Re-release,"$122,390","$122,390",100%,-,-
545,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%
546,Avant qu'on explose,"$119,894","$119,894",100%,-,-
547,Skin,"$116,863",-,-,"$116,863",100%
548,Mob Psycho 100,"$115,766","$115,766",100%,-,-
549,Sympathy for the Devil,"$114,301","$51,150",44.8%,"$63,151",55.2%
550,The Woman Who Loves Giraffes,"$113,858","$113,858",100%,-,-
551,Police Story,"$113,164","$113,164",100%,-,-
552,Babylon,"$109,749","$109,749",100%,-,-
553,The Brink,"$106,057","$106,057",100%,-,-
554,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-
555,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%
556,Those Who Remained,"$101,737",-,-,"$101,737",100%
557,QT8: The First Eight,"$101,346","$51,896",51.2%,"$49,450",48.8%
558,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%
559,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%
560,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%
561,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%
562,Little Monsters,"$97,111",-,-,"$97,111",100%
563,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-
564,Saand Ki Aankh,"$95,724",-,-,"$95,724",100%
565,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%
566,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%
567,Mapplethorpe,"$91,002","$91,002",100%,-,-
568,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-
569,The Lumber Baron,"$88,336","$88,336",100%,-,-
570,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-
571,ECCO,"$86,858","$86,858",100%,-,-
572,Vault,"$86,741","$29,491",34%,"$57,250",66%
573,Skid Row Marathon,"$84,997","$84,997",100%,-,-
574,Woodstock,"$84,440","$84,440",100%,-,-
575,The Disappearance of My Mother,"$83,930","$24,951",29.7%,"$58,979",70.3%
576,The Kindness of Strangers,"$83,042","$2,705",3.3%,"$80,337",96.7%
577,Prey,"$82,258",-,-,"$82,258",100%
578,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%
579,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%
580,Ms. Purple,"$80,657","$80,657",100%,-,-
581,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%
582,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%
583,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-
584,Fast Colour,"$76,916","$76,916",100%,-,-
585,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%
586,5B,"$72,968","$72,968",100%,-,-
587,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
588,The White Sheik 2019 re-release,"$68,940","$50,850",73.8%,"$18,090",26.2%
589,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
590,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
591,Being Frank,"$67,343","$67,343",100%,-,-
592,The Jesus Rolls,"$64,648","$18,169",28.1%,"$46,479",71.9%
593,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
594,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%
595,The Mountain,"$61,035","$61,035",100%,-,-
596,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
597,Mickey and the Bear,"$57,188","$57,188",100%,-,-
598,Notebook,"$56,166",-,-,"$56,166",100%
599,Vitalina Varela,"$55,862","$14,941",26.7%,"$40,921",73.3%
600,Recorder: The Marion Stokes Project,"$55,632","$55,632",100%,-,-
601,American Dharma,"$51,891","$51,891",100%,-,-
602,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
603,Clinton Road,"$50,400","$50,400",100%,-,-
604,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
605,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
606,The Bounty Killer,"$48,815","$48,815",100%,-,-
607,The Queen,"$47,818","$47,818",100%,-,-
608,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
609,High on the Hog,"$45,696","$45,696",100%,-,-
610,The Proposal,"$45,149","$45,149",100%,-,-
611,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
612,Our Time,"$44,762","$14,777",33%,"$29,985",67%
613,What Is Democracy?,"$44,536","$44,536",100%,-,-
614,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
615,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%
616,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
617,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
618,Union,"$41,656","$41,656",100%,-,-
619,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
620,Aniara,"$40,124","$40,124",100%,-,-
621,Zilla and Zoe,"$39,003","$39,003",100%,-,-
622,Shed of the Dead,"$38,901","$38,901",100%,-,-
623,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
624,Loro,"$37,821","$35,613",94.2%,"$2,208",5.8%
625,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
626,The Quiet One,"$37,010","$37,010",100%,-,-
627,The Death of Dick Long,"$36,856","$36,856",100%,-,-
628,Ága,"$35,178","$35,178",100%,-,-
629,Killer Unicorn,"$33,901","$33,901",100%,-,-
630,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
631,Redoubt,"$33,155","$33,155",100%,-,-
632,An Acceptable Loss,"$32,427","$32,427",100%,-,-
633,10E,"$32,413","$32,413",100%,-,-
634,Shooting the Mafia,"$32,295","$10,881",33.7%,"$21,414",66.3%
635,Desolation Center,"$32,016","$32,016",100%,-,-
636,Gift,"$31,588","$31,588",100%,-,-
637,The Cat Rescuers,"$31,540","$31,540",100%,-,-
638,Buddy,"$31,203","$31,203",100%,-,-
639,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
640,Los Reyes,"$30,418","$30,418",100%,-,-
641,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
642,The Perfect Race,"$29,644","$29,644",100%,-,-
643,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
644,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
645,The Load,"$28,410","$28,410",100%,-,-
646,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
647,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
648,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
649,Wrestle,"$26,597","$26,597",100%,-,-
650,Donnybrook,"$26,284","$26,284",100%,-,-
651,Light from Light,"$24,808","$24,808",100%,-,-
652,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%
653,Hyenas,"$24,672","$24,672",100%,-,-
654,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
655,Chasing Einstein,"$24,057","$24,057",100%,-,-
656,Steven Universe: The Movie,"$24,012",-,-,"$24,012",100%
657,Robert the Bruce,"$23,425",-,-,"$23,425",100%
658,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
659,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
660,Wicked Witches,"$21,600","$21,600",100%,-,-
661,Round of Your Life,"$20,941","$20,941",100%,-,-
662,The All Americans,"$20,324","$20,324",100%,-,-
663,General Magic,"$20,046","$20,046",100%,-,-
664,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
665,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
666,Before Stonewall,"$18,724","$18,724",100%,-,-
667,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
668,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
669,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
670,Chained for Life,"$17,431","$17,431",100%,-,-
671,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
672,Virginia Minnesota,"$16,118","$16,118",100%,-,-
673,Starfish,"$15,849","$15,849",100%,-,-
674,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-
675,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-
676,Stuffed,"$15,532","$15,532",100%,-,-
677,Between the Lines,"$15,383","$15,383",100%,-,-
678,Funan,"$15,152","$15,152",100%,-,-
679,Wrinkles the Clown,"$14,938","$14,938",100%,-,-
680,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-
681,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-
682,Combat Obscura,"$14,242","$14,242",100%,-,-
683,Screwball,"$13,967","$13,967",100%,-,-
684,Genesis,"$13,856","$6,784",49%,"$7,072",51%
685,This One's for the Ladies,"$13,688","$13,688",100%,-,-
686,Rapid Response,"$13,294","$13,294",100%,-,-
687,Duet for Cannibals 2019 re-release,"$12,962","$12,962",100%,-,-
688,Off Season,"$12,544","$12,544",100%,-,-
689,Bricked,"$12,201","$12,201",100%,-,-
690,Zen for Nothing,"$12,107","$12,107",100%,-,-
691,Imprisoned,"$12,050","$12,050",100%,-,-
692,Quartet,"$12,042","$12,042",100%,-,-
693,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-
694,Hollywould,"$11,888","$11,888",100%,-,-
695,In Like Flynn,"$11,255","$11,255",100%,-,-
696,Made Me Do It,"$11,151","$11,151",100%,-,-
697,Suburban Birds,"$10,997","$10,997",100%,-,-
698,16 Bars,"$10,985","$10,985",100%,-,-
699,If the Dancer Dances,"$10,912","$10,912",100%,-,-
700,Vision Portraits,"$10,771","$10,771",100%,-,-
701,Intuitions,"$10,606","$10,606",100%,-,-
702,I'll Take Your Dead,"$10,523","$10,523",100%,-,-
703,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%
704,Olivia,"$9,934","$9,934",100%,-,-
705,Streetwise,"$9,904","$9,904",100%,-,-
706,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-
707,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-
708,A Dark Place,"$9,212",-,-,"$9,212",100%
709,Cracked Up,"$9,197","$9,197",100%,-,-
710,The Hottest August,"$9,163","$9,163",100%,-,-
711,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-
712,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-
713,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-
714,Dosed,"$8,643",-,-,"$8,643",100%
715,The Dead Center,"$8,320","$8,320",100%,-,-
716,The Etruscan Smile 2019 release,"$8,213","$8,213",100%,-,-
717,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-
718,This Magnificent Cake!,"$7,888","$7,888",100%,-,-
719,Ghost Fleet,"$7,850","$7,850",100%,-,-
720,The Plagiarists,"$7,768","$7,768",100%,-,-
721,Gregory's Girl,"$7,710","$7,710",100%,-,-
722,Beloved Beast,"$7,301","$7,301",100%,-,-
723,Going Attractions: The Definitive Story of the Movie Palace,"$6,763","$6,763",100%,-,-
724,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-
725,Spiral Farm,"$6,517","$6,517",100%,-,-
726,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-
727,To Be of Service,"$6,173","$6,173",100%,-,-
728,Relaxer,"$6,133","$6,133",100%,-,-
729,Blood Widow,"$6,047","$6,047",100%,-,-
730,Human Nature,"$5,834","$5,487",94.1%,$347,5.9%
731,Love Goes Public,"$5,700","$5,700",100%,-,-
732,Série noire,"$5,633","$5,633",100%,-,-
733,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-
734,Chokehold,"$5,200","$5,200",100%,-,-
735,The Gliksmans,"$5,166","$5,166",100%,-,-
736,100 Acres of Hell,"$5,152","$5,152",100%,-,-
737,Body at Brighton Rock,"$5,123","$5,123",100%,-,-
738,Chulas Fronteras,"$5,021","$5,021",100%,-,-
739,The Garden,"$5,006","$5,006",100%,-,-
740,Malek,"$4,898","$4,898",100%,-,-
